model,score,timestep,number_of_edges_pos,number_of_edges_neg,test_agg,duplicate_edges,predictor,loss_func,method
GraphConv,0.7279750164365548,127940,78,78,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7708949207202365,127960,61,61,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7618699780861943,127980,37,37,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.719848566792861,128000,43,43,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7419659735349716,128020,46,46,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7080811676753292,128040,53,53,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6631944444444444,128060,48,48,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6768990634755463,128080,62,62,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.72050524052674,128100,61,61,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7474380165289256,128120,55,55,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7012244897959184,128140,70,70,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6941550925925926,128160,72,72,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6864095500459136,128180,66,66,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7015457788347207,128200,58,58,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6783376314223369,128220,71,71,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6721777777777779,128240,75,75,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6936094674556212,128260,65,65,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6962890625,128280,64,64,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6919642857142857,128300,56,56,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.786612426035503,128320,52,52,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7819999999999999,128340,50,50,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7455862381167949,128360,47,47,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7468850124599502,128380,53,53,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7302,128400,50,50,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7014486192847441,128420,47,47,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6937661591496697,128440,59,59,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6536989795918368,128460,56,56,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6786694101508917,128480,54,54,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.681276432141484,128500,51,51,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7279892349096502,128520,51,51,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7380732533087104,128540,57,57,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7092307692307692,128560,65,65,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.693479938271605,128580,72,72,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6465794306703398,128600,66,66,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7342745638200183,128620,66,66,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7123702422145329,128640,68,68,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.746768170066073,128660,59,59,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7983119173595364,128680,63,63,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6933333333333334,128700,45,45,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6609325486645541,128720,47,47,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7531718569780854,128740,51,51,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7455226988754685,128760,49,49,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7755198487712666,128780,46,46,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7203443877551019,128800,56,56,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.745679012345679,128820,45,45,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7213387573964498,128840,52,52,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6177285318559557,128860,38,38,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6466743560169166,128880,51,51,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6424,128900,50,50,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7088,128920,50,50,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7041322314049587,128940,55,55,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7368595041322313,128960,55,55,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.765504753282028,128980,47,47,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7337642351492768,129000,57,57,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7474112426035503,129020,52,52,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7256235827664399,129040,42,42,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7107166337935569,129060,39,39,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7344510546241211,129080,43,43,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7140039447731754,129100,39,39,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.7661728395061729,129120,45,45,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.717687074829932,129140,42,42,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6791836734693877,129160,35,35,False,True,dotProduct,BCEWithLogits,agg_simp
GraphConv,0.6878251821019772,129180,31,31,False,True,dotProduct,BCEWithLogits,agg_simp
